organization,imei,plate_number,,,
Metro,78188,78188,,,
Metro,66344,66344,,,
Metro,78154,78154,,,
Metro,66412,66412,,,
Metro,76184,76184,,,
Metro,76140,76140,,,
Metro,76064,76064,,,
Metro,76089,76089,,,
Metro,66310,66310,,,
Metro,66239,66239,,,
Metro,66126,66126,,,
Metro,76192,76192,,,
Metro,66273,66273,,,
Metro,76299,76299,,,
Metro,66356,66356,,,
Metro,76024,76024,,,
Metro,66221,66221,,,
Metro,76225,76225,,,
Metro,76118,76118,,,
Metro,76254,76254,,,
Metro,66323,66323,,,
Metro,76205,76205,,,
Metro,76288,76288,,,
Metro,76296,76296,,,
Metro,66177,66177,,,
Metro,66150,66150,,,
Metro,66146,66146,,,
Metro,76236,76236,,,
Metro,66378,66378,,,
Metro,76050,76050,,,
Metro,66340,66340,,,
Metro,66395,66395,,,
Metro,76040,76040,,,
Metro,66132,66132,,,
Metro,76316,76316,,,
Metro,66077,66077,,,
Metro,76116,76116,,,
Metro,76187,76187,,,
Metro,66498,66498,,,
Metro,78061,78061,,,
Metro,76404,76404,,,
Metro,78036,78036,,,
Metro,78042,78042,,,
Metro,78045,78045,,,
Metro,78023,78023,,,
Metro,76419,76419,,,
Metro,76392,76392,,,
Metro,76326,76326,,,
Metro,76483,76483,,,
Metro,76444,76444,,,
Metro,76486,76486,,,
Metro,76333,76333,,,
Metro,76352,76352,,,
Metro,76436,76436,,,
Metro,80252,80252,,,
Metro,78411,78411,,,
Metro,78223,78223,,,
Metro,48952,48952,,,
Metro,80230,80230,,,
Metro,80218,80218,,,
Metro,80116,80116,,,
Metro,78413,78413,,,
Metro,78305,78305,,,
Metro,78492,78492,,,
Metro,78383,78383,,,
Metro,78209,78209,,,
Metro,80019,80019,,,
Metro,80312,80312,,,
Metro,78197,78197,,,
Metro,78479,78479,,,
Metro,80091,80091,,,
Metro,78289,78289,,,
Metro,80182,80182,,,
Metro,78384,78384,,,
Metro,78329,78329,,,
Metro,2769,2769,,,
Metro,80338,80338,,,
Metro,80164,80164,,,
Metro,80202,80202,,,
Metro,80067,80067,,,
Metro,80349,80349,,,
Metro,78402,78402,,,
Metro,1137,1137,,,
Metro,1035,1035,,,
Metro,1262,1262,,,
Metro,1264,1264,,,
Metro,1297,1297,,,
Metro,1013,1013,,,
Metro,49243,49243,,,
Metro,1229,1229,,,
Metro,1260,1260,,,
Metro,1269,1269,,,
Metro,1059,1059,,,
Metro,1046,1046,,,
Metro,1043,1043,,,
Metro,1230,1230,,,
Metro,1226,1226,,,
Metro,1021,1021,,,
Metro,1176,1176,,,
Metro,1171,1171,,,
Metro,1138,1138,,,
Metro,1145,1145,,,
Metro,1177,1177,,,
Metro,1166,1166,,,
Metro,1162,1162,,,
Metro,1147,1147,,,
Metro,1400,1400,,,
Metro,1383,1383,,,
Metro,1302,1302,,,
Metro,1334,1334,,,
Metro,1304,1304,,,
Metro,1326,1326,,,
Metro,1398,1398,,,
Metro,1443,1443,,,
Metro,1368,1368,,,
Metro,1381,1381,,,
Metro,1414,1414,,,
Metro,1311,1311,,,
Metro,1402,1402,,,
Metro,1459,1459,,,
Metro,1439,1439,,,
Metro,1310,1310,,,
Metro,1465,1465,,,
Metro,1468,1468,,,
Metro,2706,2706,,,
Metro,2699,2699,,,
Metro,2779,2779,,,
Metro,2732,2732,,,
Metro,2701,2701,,,
Metro,2791,2791,,,
Metro,2735,2735,,,
Metro,2768,2768,,,
Metro,2728,2728,,,
Metro,2799,2799,,,
Metro,2826,2826,,,
Metro,48993,48993,,,
Metro,2907,2907,,,
Metro,2834,2834,,,
Metro,2943,2943,,,
Metro,2845,2845,,,
Metro,2850,2850,,,
Metro,2915,2915,,,
